Open,Close,High,Low,Volume,Date
24.44425,24.37,24.985,24.04,,11/09/21
24.155,24.535,24.535,24.05625,,11/08/21
24.535,24.175,24.535,24.175,,11/07/21
24.535,24.535,24.535,24.535,,11/06/21
23.7775,24.535,24.535,23.658,,11/05/21
23.58875,23.7575,24.03225,23.44,,11/04/21
23.505,23.58,23.6175,23.025,,11/03/21
24.00325,23.504,24.05575,23.385,,11/02/21
23.79875,24.015,24.52,23.74575,,11/01/21
24.505,23.7825,24.505,23.77975,,10/31/21
23.87475,23.87475,23.87475,23.87475,,10/30/21
24.07875,23.87475,24.08025,23.65925,,10/29/21
24.06,24.09125,24.23225,23.96,,10/28/21
24.1575,24.045,24.23425,23.85,,10/27/21
24.57075,24.1375,24.57075,23.88125,,10/26/21
24.3325,24.55825,24.60825,24.29775,,10/25/21
24.025,24.055,24.055,24.025,,10/24/21
24.025,24.025,24.025,24.025,,10/23/21
24.1525,24.025,24.805,24.025,,10/22/21
24.33175,24.175,24.46875,24.0025,,10/21/21
23.65875,24.2925,24.41325,23.56825,,10/20/21
23.205,22.865,24.1155,22.865,,10/19/21
23.37775,23.2,23.445,23.0125,,10/18/21
23.31525,23.31525,23.31525,23.31525,,10/17/21
23.52975,23.31525,23.58275,23.07375,,10/15/21
23.08825,23.5175,23.575,22.89825,,10/14/21
22.5775,23.0925,23.24,22.5175,,10/13/21
22.58125,22.56,22.73,22.3505,,10/12/21
22.59425,22.5775,22.8175,22.5075,,10/11/21
22.6575,22.6575,22.6575,22.6575,,10/10/21
22.6025,22.6575,23.17175,22.43275,,10/08/21
22.64875,22.5925,22.79775,22.39,,10/07/21
22.625,22.755,22.755,22.215,,10/06/21
22.6375,22.63375,22.66,22.3815,,10/05/21
22.53375,22.6775,22.75125,22.28525,,10/04/21
22.53,22.53,22.53,22.53,,10/03/21
22.18,22.53,22.58,21.99325,,10/01/21
21.5325,22.1775,22.2275,21.4745,,09/30/21
22.46,21.115,22.54,21.115,,09/29/21
22.63,22.4675,22.66525,22.11175,,09/28/21
22.43875,22.115,22.823,22.115,,09/27/21
22.42875,22.42875,22.42875,22.42875,,09/26/21
22.42875,22.42875,22.42875,22.42875,,09/25/21
22.5525,22.42875,22.7925,22.106,,09/24/21
22.7325,22.515,22.87375,22.4725,,09/23/21
22.50425,22.695,23.1325,22.463,,09/22/21
22.2825,22.49,22.7075,22.23375,,09/21/21
22.4125,22.265,22.503,22.0625,,09/20/21
22.40375,22.5625,22.57,22.40375,,09/19/21
22.92075,22.40375,23.1275,22.35,,09/17/21
23.849,22.9025,23.955,22.60525,,09/16/21
23.84175,23.8475,23.9025,23.662,,09/15/21
23.74675,23.86,23.9525,23.46325,,09/14/21
23.7825,23.735,23.8475,23.39275,,09/13/21
23.515,23.515,23.515,23.515,,09/12/21
23.515,23.515,23.515,23.515,,09/11/21
24.055,23.515,24.28625,23.515,,09/10/21
23.94825,24.315,24.315,23.85,,09/09/21
24.325,23.995,24.40775,23.9275,,09/08/21
24.6475,24.315,24.67,24.16625,,09/07/21
24.7475,24.67525,24.8125,24.64,,09/06/21
24.72,24.72,24.72,24.72,,09/05/21
24.72,24.72,24.72,24.72,,09/04/21
23.9025,24.72,24.86075,23.87525,,09/03/21
24.1475,24.335,24.335,23.7925,,09/02/21
23.90125,24.16525,24.25925,23.755,,09/01/21
24.02325,23.904,24.1975,23.81675,,08/31/21
24.04625,24.0375,24.20275,23.91675,,08/30/21
24.0225,24.0225,24.0225,24.0225,,08/29/21
23.57625,24.0225,24.11025,23.35,,08/27/21
23.84275,23.5675,23.86625,23.4325,,08/26/21
23.83375,23.8475,23.88425,23.6275,,08/25/21
23.634,24.0375,24.0375,23.53275,,08/24/21
23.07675,23.64425,23.68275,22.97125,,08/23/21
23.24,23.02725,23.3225,22.88325,,08/20/21
23.52,23.21575,23.535,23.09525,,08/19/21
23.66875,23.515,23.82,23.29125,,08/18/21
23.855,23.6325,23.94575,23.585,,08/17/21
23.76625,23.84375,23.892,23.43025,,08/16/21
23.2025,23.74,23.82775,23.17075,,08/13/21
23.54,23.1755,23.55,23.018,,08/12/21
23.34825,23.57325,23.5825,23.20525,,08/11/21
23.44625,23.33525,23.67,23.2495,,08/10/21
24.3075,23.44625,24.3075,22.75275,,08/09/21
24.34325,24.34325,24.34325,24.34325,,08/08/21
24.34325,24.34325,24.34325,24.34325,,08/07/21
25.17125,24.34325,25.20375,24.2075,,08/06/21
25.4,25.7925,25.7925,25.08875,,08/05/21
25.5275,26.2925,26.2925,25.33825,,08/04/21
25.41225,25.5225,25.5825,25.2575,,08/03/21
25.505,25.43075,25.62875,25.30825,,08/02/21
25.4875,25.4875,25.4875,25.4875,,08/01/21
25.4875,25.4875,25.4875,25.4875,,07/31/21
25.54,25.4875,25.63575,25.34075,,07/30/21
24.9875,25.53375,25.79,24.9675,,07/29/21
24.704,24.965,25.00475,24.6425,,07/28/21
25.20775,24.785,25.25925,24.49125,,07/27/21
25.20375,25.465,25.465,25.1275,,07/26/21
25.42075,25.17875,25.46,25.015,,07/23/21
25.295,26.435,26.585,25.00825,,07/22/21
24.94825,25.275,25.3025,24.7695,,07/21/21
25.175,25.585,25.585,24.8125,,07/20/21
25.6525,25.20075,25.75575,25.005,,07/19/21
25.69075,26.585,26.585,25.69075,,07/18/21
26.335,25.69075,26.44275,25.596,,07/16/21
26.24925,26.805,26.805,26.16225,,07/15/21
25.9825,26.805,26.805,25.93775,,07/14/21
26.2125,25.985,26.805,25.9425,,07/13/21
26.1125,26.21875,26.26875,25.8705,,07/12/21
26.805,26.805,26.805,26.805,,07/11/21
26.805,26.805,26.805,26.805,,07/10/21
25.9425,26.805,26.805,25.77125,,07/09/21
26.15625,26.805,26.805,25.81175,,07/08/21
26.145,26.1475,26.42825,25.995,,07/07/21
26.8425,26.14875,26.8425,26.02,,07/06/21
26.4575,26.835,26.835,26.37675,,07/05/21
26.57,26.5625,26.585,26.55875,,07/04/21
26.585,26.585,26.585,26.585,,07/03/21
26.03,26.585,26.585,25.97775,,07/02/21
26.13875,26.02375,26.38425,25.94325,,07/01/21
25.805,26.1375,26.14,25.70625,,06/30/21
26.08625,25.765,26.11,25.5725,,06/29/21
26.11,26.095,26.215,25.81,,06/28/21
25.885,26.685,26.685,25.885,,06/27/21
25.975,25.885,26.28425,25.885,,06/25/21
25.8925,25.93,26.13,25.81925,,06/24/21
25.8,25.8825,26.26325,25.7525,,06/23/21
25.985,25.7625,26.02575,25.71925,,06/22/21
25.89,25.9475,26.0775,25.5675,,06/21/21
25.98625,25.8,26.4535,25.77,,06/18/21
27.00625,25.90625,27.2385,25.77175,,06/17/21
27.66875,26.99575,27.81425,26.80825,,06/16/21
27.87,27.665,27.8855,27.41325,,06/15/21
27.95,27.85375,28.00175,27.47825,,06/14/21
27.91875,27.91875,27.91875,27.91875,,06/12/21
28.0025,27.91875,28.27425,27.88825,,06/11/21
27.7775,28.00325,28.015,27.47425,,06/10/21
27.60075,27.7675,27.98075,27.52725,,06/09/21
27.89,27.62125,27.97175,27.52175,,06/08/21
27.76025,27.88875,27.9375,27.478,,06/07/21
27.795,27.795,27.795,27.795,,06/06/21
27.795,27.795,27.795,27.795,,06/05/21
27.4575,27.795,27.835,27.24625,,06/04/21
